,0
BR.districts.Samastipur.delta21_14.confirmed,1
BR.districts.Samastipur.delta7.confirmed,2
BR.districts.Samastipur.delta7.recovered,2
BR.districts.Samastipur.delta7.vaccinated1,48167
BR.districts.Samastipur.delta7.vaccinated2,64119
BR.districts.Samastipur.meta.population,4254782
BR.districts.Samastipur.meta.tested.date,2021-01-31
BR.districts.Samastipur.total.confirmed,20020
BR.districts.Samastipur.total.deceased,155
BR.districts.Samastipur.total.recovered,19864
BR.districts.Samastipur.total.tested,614569
BR.districts.Samastipur.total.vaccinated1,1991102
BR.districts.Samastipur.total.vaccinated2,555728
BR.districts.Saran.delta.recovered,2
BR.districts.Saran.delta.vaccinated1,4149
BR.districts.Saran.delta.vaccinated2,6693
BR.districts.Saran.delta7.confirmed,5
BR.districts.Saran.delta7.recovered,2
BR.districts.Saran.delta7.vaccinated1,41734
BR.districts.Saran.delta7.vaccinated2,82407
BR.districts.Saran.meta.population,3943098
BR.districts.Saran.meta.tested.date,2021-01-31
BR.districts.Saran.total.confirmed,23278
BR.districts.Saran.total.deceased,255
BR.districts.Saran.total.recovered,23020
BR.districts.Saran.total.tested,761473
BR.districts.Saran.total.vaccinated1,1868014
BR.districts.Saran.total.vaccinated2,736766
BR.districts.Sheikhpura.delta.vaccinated1,345
BR.districts.Sheikhpura.delta.vaccinated2,788
BR.districts.Sheikhpura.delta7.vaccinated1,4942
BR.districts.Sheikhpura.delta7.vaccinated2,10739
BR.districts.Sheikhpura.meta.population,634927
BR.districts.Sheikhpura.meta.tested.date,2021-01-31
BR.districts.Sheikhpura.total.confirmed,7693
BR.districts.Sheikhpura.total.deceased,75
BR.districts.Sheikhpura.total.recovered,7618
BR.districts.Sheikhpura.total.tested,142348
BR.districts.Sheikhpura.total.vaccinated1,287209
BR.districts.Sheikhpura.total.vaccinated2,95322
BR.districts.Sheohar.delta.vaccinated1,666
BR.districts.Sheohar.delta.vaccinated2,1629
BR.districts.Sheohar.delta7.recovered,2
BR.districts.Sheohar.delta7.vaccinated1,2946
BR.districts.Sheohar.delta7.vaccinated2,7111
BR.districts.Sheohar.meta.population,656916
BR.districts.Sheohar.meta.tested.date,2020-11-16
BR.districts.Sheohar.total.confirmed,4404
BR.districts.Sheohar.total.deceased,36
BR.districts.Sheohar.total.recovered,4368
BR.districts.Sheohar.total.tested,199431
BR.districts.Sheohar.total.vaccinated1,300967
BR.districts.Sheohar.total.vaccinated2,108766
BR.districts.Sitamarhi.delta.vaccinated1,3873
BR.districts.Sitamarhi.delta.vaccinated2,5476
BR.districts.Sitamarhi.delta21_14.confirmed,1
BR.districts.Sitamarhi.delta7.vaccinated1,43474
BR.districts.Sitamarhi.delta7.vaccinated2,60677
BR.districts.Sitamarhi.meta.population,3419622
BR.districts.Sitamarhi.meta.tested.date,2021-01-31
BR.districts.Sitamarhi.total.confirmed,9185
BR.districts.Sitamarhi.total.deceased,127
BR.districts.Sitamarhi.total.recovered,9058
BR.districts.Sitamarhi.total.tested,453227
BR.districts.Sitamarhi.total.vaccinated1,1511464
BR.districts.Sitamarhi.total.vaccinated2,424182
BR.districts.Siwan.delta.vaccinated1,1163
BR.districts.Siwan.delta.vaccinated2,4030
BR.districts.Siwan.delta7.vaccinated1,18385
BR.districts.Siwan.delta7.vaccinated2,69069
BR.districts.Siwan.meta.population,3318176
BR.districts.Siwan.meta.tested.date,2021-01-31
BR.districts.Siwan.total.confirmed,15195
BR.districts.Siwan.total.deceased,170
BR.districts.Siwan.total.recovered,15025
BR.districts.Siwan.total.tested,536438
BR.districts.Siwan.total.vaccinated1,1670590
BR.districts.Siwan.total.vaccinated2,684755
BR.districts.Supaul.delta.vaccinated1,3029
BR.districts.Supaul.delta.vaccinated2,5131
BR.districts.Supaul.delta21_14.confirmed,1
BR.districts.Supaul.delta7.vaccinated1,35486
BR.districts.Supaul.delta7.vaccinated2,71754
BR.districts.Supaul.meta.population,2228397
BR.districts.Supaul.meta.tested.date,2021-01-31
BR.districts.Supaul.total.confirmed,17222
BR.districts.Supaul.total.deceased,129
BR.districts.Supaul.total.recovered,17093
BR.districts.Supaul.total.tested,456511
BR.districts.Supaul.total.vaccinated1,1069993
BR.districts.Supaul.total.vaccinated2,369925
BR.districts.Vaishali.delta.vaccinated1,1522
BR.districts.Vaishali.delta.vaccinated2,2621
BR.districts.Vaishali.delta7.confirmed,1
BR.districts.Vaishali.delta7.vaccinated1,45426
BR.districts.Vaishali.delta7.vaccinated2,59038
BR.districts.Vaishali.meta.population,3495021
BR.districts.Vaishali.meta.tested.date,2021-01-31
BR.districts.Vaishali.total.confirmed,19827
BR.districts.Vaishali.total.deceased,192
BR.districts.Vaishali.total.other,1
BR.districts.Vaishali.total.recovered,19632
BR.districts.Vaishali.total.tested,275884
BR.districts.Vaishali.total.vaccinated1,1671469
BR.districts.Vaishali.total.vaccinated2,478638
BR.districts.West Champaran.delta.vaccinated1,7525
BR.districts.West Champaran.delta.vaccinated2,6316
BR.districts.West Champaran.delta7.vaccinated1,42709
BR.districts.West Champaran.delta7.vaccinated2,52019
BR.districts.West Champaran.meta.population,3935042
BR.districts.West Champaran.meta.tested.date,2021-01-31
BR.districts.West Champaran.total.confirmed,20890
BR.districts.West Champaran.total.deceased,358
BR.districts.West Champaran.total.recovered,20532
BR.districts.West Champaran.total.tested,551778
BR.districts.West Champaran.total.vaccinated1,1784016
BR.districts.West Champaran.total.vaccinated2,469332
BR.meta.date,2021-10-31
BR.meta.last_updated,2021-11-01T09:54:14+05:30
BR.meta.notes,[June 9] : 3951 deceased cases have been reported in the bulletin after reconciliation of records by the authorities
BR.meta.population,119520000
BR.meta.tested.date,2021-10-31
BR.meta.tested.source,https://twitter.com/BiharHealthDept/status/1454805874447290369?s=20
BR.meta.vaccinated.date,2021-10-31
BR.total.confirmed,726098
BR.total.deceased,9661
BR.total.other,1
BR.total.recovered,716390
BR.total.tested,50531824
BR.total.vaccinated1,49874828
BR.total.vaccinated2,18346781
CH.delta.confirmed,5
CH.delta.recovered,3
CH.delta.tested,1403
CH.delta.vaccinated1,211
CH.delta.vaccinated2,1282
CH.delta21_14.confirmed,23
CH.delta7.confirmed,28
CH.delta7.recovered,20
CH.delta7.tested,10726
CH.delta7.vaccinated1,3680
CH.delta7.vaccinated2,21641
CH.districts.Chandigarh.delta.confirmed,5
CH.districts.Chandigarh.delta.recovered,3
CH.districts.Chandigarh.delta.tested,1403
CH.districts.Chandigarh.delta.vaccinated1,211
CH.districts.Chandigarh.delta.vaccinated2,1282
CH.districts.Chandigarh.delta21_14.confirmed,23
CH.districts.Chandigarh.delta7.confirmed,28
CH.districts.Chandigarh.delta7.recovered,20
CH.districts.Chandigarh.delta7.tested,10726
CH.districts.Chandigarh.delta7.vaccinated1,3680
CH.districts.Chandigarh.delta7.vaccinated2,21641
CH.districts.Chandigarh.meta.population,1055450
CH.districts.Chandigarh.meta.tested.date,2021-10-31
CH.districts.Chandigarh.meta.tested.source,https://t.me/Covid19india_Auxiliary_Test_Data/11877
CH.districts.Chandigarh.meta.vaccinated.date,2021-10-31
CH.districts.Chandigarh.total.confirmed,65351
CH.districts.Chandigarh.total.deceased,820
CH.districts.Chandigarh.total.recovered,64495
CH.districts.Chandigarh.total.tested,792851
CH.districts.Chandigarh.total.vaccinated1,926035
CH.districts.Chandigarh.total.vaccinated2,546981
CH.meta.date,2021-10-31
CH.meta.last_updated,2021-11-01T09:54:14+05:30
CH.meta.population,1179000
CH.meta.tested.date,2021-10-31
CH.meta.tested.source,https://t.me/Covid19india_Auxiliary_Test_Data/11877
CH.meta.vaccinated.date,2021-10-31
CH.total.confirmed,65351
CH.total.deceased,820
CH.total.recovered,64495
CH.total.tested,792851
CH.total.vaccinated1,926035
CH.total.vaccinated2,546981
CT.delta.confirmed,32
CT.delta.deceased,1
CT.delta.recovered,32
CT.delta.tested,11869
CT.delta.vaccinated1,21312
CT.delta.vaccinated2,39393
CT.delta21_14.confirmed,124
CT.delta7.confirmed,205
CT.delta7.deceased,5
CT.delta7.recovered,103
CT.delta7.tested,147451
CT.delta7.vaccinated1,379374
CT.delta7.vaccinated2,604260
CT.districts.Balod.delta.vaccinated1,523
CT.districts.Balod.delta.vaccinated2,762
CT.districts.Balod.delta21_14.confirmed,3
CT.districts.Balod.delta7.confirmed,2
CT.districts.Balod.delta7.recovered,1
CT.districts.Balod.delta7.vaccinated1,5983
CT.districts.Balod.delta7.vaccinated2,9451
CT.districts.Balod.meta.population,826165
CT.districts.Balod.meta.tested.date,2020-06-14
CT.districts.Balod.total.confirmed,27278
CT.districts.Balod.total.deceased,396
CT.districts.Balod.total.recovered,26880
CT.districts.Balod.total.tested,2749
CT.districts.Balod.total.vaccinated1,537459
CT.districts.Balod.total.vaccinated2,271570
CT.districts.Baloda Bazar.delta.recovered,1
CT.districts.Baloda Bazar.delta.vaccinated1,953
CT.districts.Baloda Bazar.delta.vaccinated2,605
CT.districts.Baloda Bazar.delta21_14.confirmed,1
CT.districts.Baloda Bazar.delta7.recovered,3
CT.districts.Baloda Bazar.delta7.vaccinated1,25353
CT.districts.Baloda Bazar.delta7.vaccinated2,17419
CT.districts.Baloda Bazar.meta.population,1305343
CT.districts.Baloda Bazar.meta.tested.date,2020-06-14
CT.districts.Baloda Bazar.total.confirmed,43085
CT.districts.Baloda Bazar.total.deceased,471
CT.districts.Baloda Bazar.total.recovered,42611
CT.districts.Baloda Bazar.total.tested,3816
CT.districts.Baloda Bazar.total.vaccinated1,617777
CT.districts.Baloda Bazar.total.vaccinated2,211945
CT.districts.Balrampur.delta.vaccinated1,1654
CT.districts.Balrampur.delta.vaccinated2,725
CT.districts.Balrampur.delta7.vaccinated1,21912
CT.districts.Balrampur.delta7.vaccinated2,17709
CT.districts.Balrampur.meta.population,598855
CT.districts.Balrampur.meta.tested.date,2020-09-20
CT.districts.Balrampur.total.confirmed,20302
CT.districts.Balrampur.total.deceased,118
CT.districts.Balrampur.total.recovered,20182
CT.districts.Balrampur.total.tested,21481
CT.districts.Balrampur.total.vaccinated1,305554
CT.districts.Balrampur.total.vaccinated2,112777
CT.districts.Bametara.delta.confirmed,1
CT.districts.Bametara.delta.vaccinated1,25
CT.districts.Bametara.delta.vaccinated2,25
CT.districts.Bametara.delta21_14.confirmed,1
CT.districts.Bametara.delta7.confirmed,1
CT.districts.Bametara.delta7.vaccinated1,14367
CT.districts.Bametara.delta7.vaccinated2,7690
CT.districts.Bametara.meta.population,197035
CT.districts.Bametara.meta.tested.date,2020-06-14
CT.districts.Bametara.total.confirmed,19963
CT.districts.Bametara.total.deceased,236
CT.districts.Bametara.total.recovered,19726
CT.districts.Bametara.total.tested,3113
CT.districts.Bametara.total.vaccinated1,405388
CT.districts.Bametara.total.vaccinated2,132925
CT.districts.Bastar.delta.confirmed,2
CT.districts.Bastar.delta.recovered,2
CT.districts.Bastar.delta.vaccinated1,82
CT.districts.Bastar.delta.vaccinated2,129
CT.districts.Bastar.delta7.confirmed,24
CT.districts.Bastar.delta7.recovered,2
CT.districts.Bastar.delta7.vaccinated1,10696
CT.districts.Bastar.delta7.vaccinated2,9616
CT.districts.Bastar.meta.population,1302253
CT.districts.Bastar.meta.tested.date,2020-05-23
CT.districts.Bastar.total.confirmed,21066
CT.districts.Bastar.total.deceased,188
CT.districts.Bastar.total.recovered,20845
CT.districts.Bastar.total.tested,4522
CT.districts.Bastar.total.vaccinated1,443759
CT.districts.Bastar.total.vaccinated2,178775
CT.districts.Bijapur.delta.confirmed,3
CT.districts.Bijapur.delta.recovered,1
CT.districts.Bijapur.delta.vaccinated1,47
CT.districts.Bijapur.delta.vaccinated2,56
CT.districts.Bijapur.delta21_14.confirmed,6
CT.districts.Bijapur.delta7.confirmed,5
CT.districts.Bijapur.delta7.recovered,3
CT.districts.Bijapur.delta7.vaccinated1,1251
CT.districts.Bijapur.delta7.vaccinated2,913
CT.districts.Bijapur.meta.population,229832
CT.districts.Bijapur.meta.tested.date,2020-06-14
CT.districts.Bijapur.total.confirmed,8324
CT.districts.Bijapur.total.deceased,55
CT.districts.Bijapur.total.recovered,8263
CT.districts.Bijapur.total.tested,1239
CT.districts.Bijapur.total.vaccinated1,103247
CT.districts.Bijapur.total.vaccinated2,44245
CT.districts.Bilaspur.delta.confirmed,1
CT.districts.Bilaspur.delta.recovered,3
CT.districts.Bilaspur.delta.vaccinated1,2404
CT.districts.Bilaspur.delta.vaccinated2,9113
CT.districts.Bilaspur.delta21_14.confirmed,12
CT.districts.Bilaspur.delta7.confirmed,17
CT.districts.Bilaspur.delta7.deceased,2
CT.districts.Bilaspur.delta7.recovered,8
CT.districts.Bilaspur.delta7.vaccinated1,18318
CT.districts.Bilaspur.delta7.vaccinated2,50320
CT.districts.Bilaspur.meta.population,1961922
CT.districts.Bilaspur.meta.tested.date,2020-06-14
CT.districts.Bilaspur.total.confirmed,65681
CT.districts.Bilaspur.total.deceased,1210
CT.districts.Bilaspur.total.recovered,64448
CT.districts.Bilaspur.total.tested,9823
CT.districts.Bilaspur.total.vaccinated1,1031494
CT.districts.Bilaspur.total.vaccinated2,525066
CT.districts.Dakshin Bastar Dantewada.delta.confirmed,1
CT.districts.Dakshin Bastar Dantewada.delta.vaccinated1,143
CT.districts.Dakshin Bastar Dantewada.delta.vaccinated2,1299
CT.districts.Dakshin Bastar Dantewada.delta21_14.confirmed,4
CT.districts.Dakshin Bastar Dantewada.delta7.confirmed,6
CT.districts.Dakshin Bastar Dantewada.delta7.recovered,2
CT.districts.Dakshin Bastar Dantewada.delta7.vaccinated1,2225
CT.districts.Dakshin Bastar Dantewada.delta7.vaccinated2,5410
CT.districts.Dakshin Bastar Dantewada.meta.population,533638
CT.districts.Dakshin Bastar Dantewada.meta.tested.date,2020-06-14
CT.districts.Dakshin Bastar Dantewada.total.confirmed,10840
CT.districts.Dakshin Bastar Dantewada.total.deceased,25
CT.districts.Dakshin Bastar Dantewada.total.recovered,10809
CT.districts.Dakshin Bastar Dantewada.total.tested,1168
CT.districts.Dakshin Bastar Dantewada.total.vaccinated1,158243
CT.districts.Dakshin Bastar Dantewada.total.vaccinated2,80855
CT.districts.Dhamtari.delta.recovered,2
CT.districts.Dhamtari.delta.vaccinated1,1
CT.districts.Dhamtari.delta.vaccinated2,18
CT.districts.Dhamtari.delta21_14.confirmed,2
CT.districts.Dhamtari.delta7.confirmed,2
CT.districts.Dhamtari.delta7.recovered,2
CT.districts.Dhamtari.delta7.vaccinated1,6188
CT.districts.Dhamtari.delta7.vaccinated2,7319
CT.districts.Dhamtari.meta.population,799199
CT.districts.Dhamtari.meta.tested.date,2020-06-14
CT.districts.Dhamtari.total.confirmed,27239
CT.districts.Dhamtari.total.deceased,545
CT.districts.Dhamtari.total.recovered,26690
CT.districts.Dhamtari.total.tested,1501
CT.districts.Dhamtari.total.vaccinated1,509782
CT.districts.Dhamtari.total.vaccinated2,224591
CT.districts.Durg.delta.confirmed,4
CT.districts.Durg.delta.recovered,6
CT.districts.Durg.delta.vaccinated1,468
CT.districts.Durg.delta.vaccinated2,908
CT.districts.Durg.delta21_14.confirmed,19
CT.districts.Durg.delta7.confirmed,26
CT.districts.Durg.delta7.deceased,1
CT.districts.Durg.delta7.recovered,18
CT.districts.Durg.delta7.vaccinated1,17012
CT.districts.Durg.delta7.vaccinated2,22719
CT.districts.Durg.meta.population,3343079
CT.districts.Durg.meta.tested.date,2020-06-14
CT.districts.Durg.total.confirmed,96880
CT.districts.Durg.total.deceased,1798
CT.districts.Durg.total.recovered,95028
CT.districts.Durg.total.tested,5020
CT.districts.Durg.total.vaccinated1,1012391
CT.districts.Durg.total.vaccinated2,525445
CT.districts.Gariaband.delta.vaccinated1,440
CT.districts.Gariaband.delta.vaccinated2,153
CT.districts.Gariaband.delta7.confirmed,1
CT.districts.Gariaband.delta7.vaccinated1,9982
CT.districts.Gariaband.delta7.vaccinated2,5872
CT.districts.Gariaband.meta.population,597653
CT.districts.Gariaband.meta.tested.date,2020-06-14
CT.districts.Gariaband.total.confirmed,19701
CT.districts.Gariaband.total.deceased,194
CT.districts.Gariaband.total.recovered,19506
CT.districts.Gariaband.total.tested,2096
CT.districts.Gariaband.total.vaccinated1,293987
CT.districts.Gariaband.total.vaccinated2,99137
CT.districts.Gaurela Pendra Marwahi.delta.confirmed,1
CT.districts.Gaurela Pendra Marwahi.delta.vaccinated1,257
CT.districts.Gaurela Pendra Marwahi.delta.vaccinated2,297
CT.districts.Gaurela Pendra Marwahi.delta7.confirmed,1
CT.districts.Gaurela Pendra Marwahi.delta7.vaccinated1,4045
CT.districts.Gaurela Pendra Marwahi.delta7.vaccinated2,4587
CT.districts.Gaurela Pendra Marwahi.meta.tested.date,2020-06-14
CT.districts.Gaurela Pendra Marwahi.total.confirmed,12011
CT.districts.Gaurela Pendra Marwahi.total.deceased,146
CT.districts.Gaurela Pendra Marwahi.total.recovered,11864
CT.districts.Gaurela Pendra Marwahi.total.tested,273
CT.districts.Gaurela Pendra Marwahi.total.vaccinated1,189474
CT.districts.Gaurela Pendra Marwahi.total.vaccinated2,79788
CT.districts.Janjgir Champa.delta.confirmed,2
CT.districts.Janjgir Champa.delta.recovered,4
CT.districts.Janjgir Champa.delta.vaccinated1,1722
CT.districts.Janjgir Champa.delta.vaccinated2,1341
CT.districts.Janjgir Champa.delta21_14.confirmed,9
CT.districts.Janjgir Champa.delta7.confirmed,19
CT.districts.Janjgir Champa.delta7.deceased,1
CT.districts.Janjgir Champa.delta7.recovered,8
CT.districts.Janjgir Champa.delta7.vaccinated1,45568
CT.districts.Janjgir Champa.delta7.vaccinated2,30991
CT.districts.Janjgir Champa.meta.population,1620632
CT.districts.Janjgir Champa.meta.tested.date,2020-06-14
CT.districts.Janjgir Champa.total.confirmed,57636
CT.districts.Janjgir Champa.total.deceased,838
CT.districts.Janjgir Champa.total.recovered,56766
CT.districts.Janjgir Champa.total.tested,4016
CT.districts.Janjgir Champa.total.vaccinated1,896087
CT.districts.Janjgir Champa.total.vaccinated2,317605
CT.districts.Jashpur.delta.recovered,3
CT.districts.Jashpur.delta.vaccinated1,187
CT.districts.Jashpur.delta.vaccinated2,383
CT.districts.Jashpur.delta21_14.confirmed,6
CT.districts.Jashpur.delta7.confirmed,10
CT.districts.Jashpur.delta7.recovered,6
CT.districts.Jashpur.delta7.vaccinated1,10933
CT.districts.Jashpur.delta7.vaccinated2,13098
CT.districts.Jashpur.meta.population,852043
CT.districts.Jashpur.meta.tested.date,2020-06-14
CT.districts.Jashpur.total.confirmed,27093
CT.districts.Jashpur.total.deceased,212
CT.districts.Jashpur.total.recovered,26867
CT.districts.Jashpur.total.tested,2542
CT.districts.Jashpur.total.vaccinated1,435884
CT.districts.Jashpur.total.vaccinated2,182747
CT.districts.Kabeerdham.delta.vaccinated1,1128
CT.districts.Kabeerdham.delta.vaccinated2,1288
CT.districts.Kabeerdham.delta7.confirmed,1
CT.districts.Kabeerdham.delta7.vaccinated1,17511
CT.districts.Kabeerdham.delta7.vaccinated2,17876
CT.districts.Kabeerdham.meta.population,584667
CT.districts.Kabeerdham.meta.tested.date,2020-06-14
CT.districts.Kabeerdham.total.confirmed,22771
CT.districts.Kabeerdham.total.deceased,267
CT.districts.Kabeerdham.total.recovered,22503
CT.districts.Kabeerdham.total.tested,2829
CT.districts.Kabeerdham.total.vaccinated1,402362
CT.districts.Kabeerdham.total.vaccinated2,173494
CT.districts.Kondagaon.delta.vaccinated1,243
CT.districts.Kondagaon.delta.vaccinated2,184
CT.districts.Kondagaon.delta21_14.confirmed,2
CT.districts.Kondagaon.delta7.confirmed,4
CT.districts.Kondagaon.delta7.recovered,1
CT.districts.Kondagaon.delta7.vaccinated1,8359
CT.districts.Kondagaon.delta7.vaccinated2,7999
CT.districts.Kondagaon.meta.population,578326
CT.districts.Kondagaon.meta.tested.date,2020-06-14
CT.districts.Kondagaon.total.confirmed,13139
CT.districts.Kondagaon.total.deceased,99
CT.districts.Kondagaon.total.recovered,13036
CT.districts.Kondagaon.total.tested,1607
CT.districts.Kondagaon.total.vaccinated1,317695
CT.districts.Kondagaon.total.vaccinated2,100468
CT.districts.Korba.delta.confirmed,5
CT.districts.Korba.delta.recovered,2
CT.districts.Korba.delta.vaccinated1,1086
CT.districts.Korba.delta.vaccinated2,1126
CT.districts.Korba.delta21_14.confirmed,13
CT.districts.Korba.delta7.confirmed,23
CT.districts.Korba.delta7.recovered,11
CT.districts.Korba.delta7.vaccinated1,24033
CT.districts.Korba.delta7.vaccinated2,24911
CT.districts.Korba.meta.population,1206563
CT.districts.Korba.meta.tested.date,2020-06-14
CT.districts.Korba.total.confirmed,54847
CT.districts.Korba.total.deceased,580
CT.districts.Korba.total.recovered,54228
CT.districts.Korba.total.tested,10034
CT.districts.Korba.total.vaccinated1,650457
CT.districts.Korba.total.vaccinated2,287588
CT.districts.Koriya.delta.deceased,1
CT.districts.Koriya.delta.vaccinated1,2370
CT.districts.Koriya.delta.vaccinated2,346
CT.districts.Koriya.delta21_14.confirmed,1
CT.districts.Koriya.delta7.confirmed,6
CT.districts.Koriya.delta7.deceased,1
CT.districts.Koriya.delta7.vaccinated1,15621
CT.districts.Koriya.delta7.vaccinated2,5751
CT.districts.Koriya.meta.population,659039
CT.districts.Koriya.meta.tested.date,2020-06-14
CT.districts.Koriya.total.confirmed,26980
CT.districts.Koriya.total.deceased,177
CT.districts.Koriya.total.recovered,26798
CT.districts.Koriya.total.tested,2689
CT.districts.Koriya.total.vaccinated1,375503
CT.districts.Koriya.total.vaccinated2,128177
CT.districts.Mahasamund.delta.vaccinated1,159
CT.districts.Mahasamund.delta.vaccinated2,6309
CT.districts.Mahasamund.delta21_14.confirmed,2
CT.districts.Mahasamund.delta7.recovered,1
CT.districts.Mahasamund.delta7.vaccinated1,4416
CT.districts.Mahasamund.delta7.vaccinated2,72466
CT.districts.Mahasamund.meta.population,1032275
CT.districts.Mahasamund.meta.tested.date,2020-06-14
CT.districts.Mahasamund.total.confirmed,31365
CT.districts.Mahasamund.total.deceased,365
CT.districts.Mahasamund.total.recovered,31000
CT.districts.Mahasamund.total.tested,2183
CT.districts.Mahasamund.total.vaccinated1,738333
CT.districts.Mahasamund.total.vaccinated2,428365
CT.districts.Mungeli.delta.vaccinated1,1330
CT.districts.Mungeli.delta.vaccinated2,981
CT.districts.Mungeli.delta21_14.confirmed,2
CT.districts.Mungeli.delta7.confirmed,1
CT.districts.Mungeli.delta7.recovered,2
CT.districts.Mungeli.delta7.vaccinated1,15254
CT.districts.Mungeli.delta7.vaccinated2,12880
CT.districts.Mungeli.meta.population,701707
CT.districts.Mungeli.meta.tested.date,2020-06-14
CT.districts.Mungeli.total.confirmed,23921
CT.districts.Mungeli.total.deceased,167
CT.districts.Mungeli.total.recovered,23753
CT.districts.Mungeli.total.tested,2922
CT.districts.Mungeli.total.vaccinated1,282508
CT.districts.Mungeli.total.vaccinated2,109857
CT.districts.Narayanpur.delta.vaccinated1,1075
CT.districts.Narayanpur.delta.vaccinated2,903
CT.districts.Narayanpur.delta21_14.confirmed,1
CT.districts.Narayanpur.delta7.recovered,1
CT.districts.Narayanpur.delta7.vaccinated1,3057
CT.districts.Narayanpur.delta7.vaccinated2,1858
CT.districts.Narayanpur.meta.population,140206
CT.districts.Narayanpur.meta.tested.date,2020-06-14
CT.districts.Narayanpur.total.confirmed,4019
CT.districts.Narayanpur.total.deceased,14
CT.districts.Narayanpur.total.recovered,4005
CT.districts.Narayanpur.total.tested,804
CT.districts.Narayanpur.total.vaccinated1,53032
CT.districts.Narayanpur.total.vaccinated2,19468
CT.districts.Other State.delta.confirmed,1
CT.districts.Other State.delta21_14.confirmed,3
CT.districts.Other State.delta7.confirmed,4
CT.districts.Other State.delta7.recovered,3
CT.districts.Other State.total.confirmed,805
CT.districts.Other State.total.deceased,131
CT.districts.Other State.total.recovered,666
CT.districts.Raigarh.delta.confirmed,2
CT.districts.Raigarh.delta.recovered,4
CT.districts.Raigarh.delta.vaccinated1,752
CT.districts.Raigarh.delta.vaccinated2,6265
CT.districts.Raigarh.delta21_14.confirmed,10
CT.districts.Raigarh.delta7.confirmed,8
CT.districts.Raigarh.delta7.recovered,8
CT.districts.Raigarh.delta7.vaccinated1,5114
CT.districts.Raigarh.delta7.vaccinated2,122838
CT.districts.Raigarh.meta.population,1493627
CT.districts.Raigarh.meta.tested.date,2020-06-14
CT.districts.Raigarh.total.confirmed,62590
CT.districts.Raigarh.total.deceased,978
CT.districts.Raigarh.total.recovered,61597
CT.districts.Raigarh.total.tested,5084
CT.districts.Raigarh.total.vaccinated1,1074306
CT.districts.Raigarh.total.vaccinated2,967326
CT.districts.Raipur.delta.confirmed,9
CT.districts.Raipur.delta.recovered,3
CT.districts.Raipur.delta.vaccinated1,789
CT.districts.Raipur.delta.vaccinated2,3193
CT.districts.Raipur.delta21_14.confirmed,15
CT.districts.Raipur.delta7.confirmed,33
CT.districts.Raipur.delta7.recovered,15
CT.districts.Raipur.delta7.vaccinated1,10441
CT.districts.Raipur.delta7.vaccinated2,40794
CT.districts.Raipur.meta.population,4062160
CT.districts.Raipur.meta.tested.date,2020-06-14
CT.districts.Raipur.total.confirmed,158035
CT.districts.Raipur.total.deceased,3139
CT.districts.Raipur.total.recovered,154852
CT.districts.Raipur.total.tested,12704
CT.districts.Raipur.total.vaccinated1,1557999
CT.districts.Raipur.total.vaccinated2,915437
CT.districts.Rajnandgaon.delta.vaccinated1,596
CT.districts.Rajnandgaon.delta.vaccinated2,650
CT.districts.Rajnandgaon.delta21_14.confirmed,2
CT.districts.Rajnandgaon.delta7.confirmed,5
CT.districts.Rajnandgaon.delta7.recovered,3
CT.districts.Rajnandgaon.delta7.vaccinated1,15753
CT.districts.Rajnandgaon.delta7.vaccinated2,25270
CT.districts.Rajnandgaon.meta.population,1537520
CT.districts.Rajnandgaon.meta.tested.date,2020-11-09
CT.districts.Rajnandgaon.total.confirmed,56077
CT.districts.Rajnandgaon.total.deceased,515
CT.districts.Rajnandgaon.total.recovered,55557
CT.districts.Rajnandgaon.total.tested,124947
CT.districts.Rajnandgaon.total.vaccinated1,1028876
CT.districts.Rajnandgaon.total.vaccinated2,530711
CT.districts.Sukma.delta.recovered,1
CT.districts.Sukma.delta.vaccinated1,140
CT.districts.Sukma.delta.vaccinated2,77
CT.districts.Sukma.delta21_14.confirmed,3
CT.districts.Sukma.delta7.confirmed,1
CT.districts.Sukma.delta7.recovered,4
CT.districts.Sukma.delta7.vaccinated1,3208
CT.districts.Sukma.delta7.vaccinated2,5401
CT.districts.Sukma.meta.population,249000
CT.districts.Sukma.meta.tested.date,2020-06-14
CT.districts.Sukma.total.confirmed,8066
CT.districts.Sukma.total.deceased,20
CT.districts.Sukma.total.recovered,8041
CT.districts.Sukma.total.tested,1723
CT.districts.Sukma.total.vaccinated1,134654
CT.districts.Sukma.total.vaccinated2,81437
CT.districts.Surajpur.delta.vaccinated1,442
CT.districts.Surajpur.delta.vaccinated2,322
CT.districts.Surajpur.delta21_14.confirmed,1
CT.districts.Surajpur.delta7.vaccinated1,13506
CT.districts.Surajpur.delta7.vaccinated2,13873
CT.districts.Surajpur.meta.population,660280
CT.districts.Surajpur.meta.tested.date,2020-06-14
CT.districts.Surajpur.total.confirmed,29029
CT.districts.Surajpur.total.deceased,224
CT.districts.Surajpur.total.recovered,28805
CT.districts.Surajpur.total.tested,1830
CT.districts.Surajpur.total.vaccinated1,419247
CT.districts.Surajpur.total.vaccinated2,163526
CT.districts.Surguja.delta.vaccinated1,1831
CT.districts.Surguja.delta.vaccinated2,1834
CT.districts.Surguja.delta21_14.confirmed,2
CT.districts.Surguja.delta7.confirmed,2
CT.districts.Surguja.delta7.vaccinated1,29827
CT.districts.Surguja.delta7.vaccinated2,33226
CT.districts.Surguja.meta.population,420661
